BAT+:2
C1:2
C10:1
C13:1
C2:1
C3:2
C4:1
C5:2
C6:2
C7:2
C8:2
C9:2
D1:2
D10:2
D11:2
D12:2
D13:2
D14:2
D15:2
D16:2
D17:2
D18:2
D19:2
D2:2
D20:2
D3:2
D4:2
D5:2
D6:2
D7:2
D8:2
D9:2
F1:2
FI1:1
FI2:1
FI3:1
FI4:1
FI5:1
FI6:1
G**:2
GND:2
H1:2
L1:2
LED1:2
LED10:2
LED11:2
LED12:2
LED13:2
LED14:2
LED15:2
LED16:2
LED17:2
LED18:2
LED19:2
LED2:2
LED20:2
LED3:2
LED4:2
LED5:2
LED6:2
LED7:2
LED8:2
LED9:2
PWR:2
Q1:2
Q2:2
R1:2
R10:2
R11:2
R12:1
R13:2
R14:2
R15:1
R16:2
R17:2
R18:1
R19:1
R2:2
R3:1
R4:1
R5:2
R6:2
R7:2
R8:2
R9:2
REF**:12
S1:2
S10:2
S11:2
S12:2
S13:2
S14:2
S15:2
S16:2
S17:2
S18:2
S19:2
S2:2
S20:2
S3:2
S4:2
S5:2
S6:2
S7:2
S8:2
S9:2
SW1:2
U1:2
U10:1
U2:2
U3:1
U4:2
U5:2
U6:2
U7:2
U8:2
U9:2
USBC1:2
VBUS:2
VDD_NRF:2
X1:2
